,episode,date,name_ja,opening_ja,dupe_number,day_order
10,11,1989-12-12,線で遊ぼう,分数→漢字→[ハガキ]私は松ちゃんと浜ちゃんの生写真を持っています。結構古い物で浜ちゃんは髪をセットしていないし松ちゃんはヒゲが伸びてて下の歯の一本が抜けているように見えます。これはいつ頃の写真でしょうか,1,1989-12-12-1.0
11,12,1989-12-19,刑事コント,タクシーの運転手→浜田に間違えられた,1,1989-12-19-1.0
12,13,1989-12-26,リポーター松本 浜田に突撃インタビュー,事務所に浜田の結婚を黙ってろと言われてた→[ハガキ]松ちゃん浜ちゃん、二人はOFFの日はなにをしているのですか→松本さんの家にファンがやってくるのは松本さんは人が良くて優しそうに見えるからじゃないですか？,1,1989-12-26-1.0
13,14,1990-01-09,留学生とチンピラ,髪→綺麗なホール→松本は子供が好きじゃない→犬は好き→今日はハガキで募集した客,1,1990-01-09-1.0
14,15,1990-01-16,ローリングサンダーマン,今年最後の収録→紅白どっちが勝つか,1,1990-01-16-1.0
15,16,1990-01-23,ガララニョロロでズームイン朝！,紅白の結果→ガララニョロロ→次の罰ゲーム→[ハガキ]私の友人の浜ちゃんファンは身長170cm、アゴがなく首からそのまま顔に繋がっているという感じで猫背です,1,1990-01-23-1.0
16,17,1990-01-30,仕事人,横浜→浜田がパチンコしてたら店員が気付いてた→人間は生まれたときから死ぬ結末は分かってる話→野性の動物→[ハガキ]お二人にお願いがあります。どうか僕を弟子にしてください→お互いのクセを教えてください,1,1990-01-30-1.0
17,18,1990-02-06,誘拐コント,前乗ったタクシーがスリップした→車,1,1990-02-06-1.0
18,19,1990-02-13,ダウンタウン、女子寮へ,学生寮には来たことない,1,1990-02-13-1.0
19,20,1990-02-20,激突！チキチキ三輪車マラソンレース,オープニングがひどい→東京駅にいる募金持ったやつ→男は思わずHな独り言を言ってしまう→ツッコミの職業病→飛行機で石川秀美を見かけて→[ハガキ]浜田さんがヤクザ上がりだという噂がありますが、本当であればツッコミの鋭さも納得です→罰ゲームでキユーピー3分クッキングに出演というのはいかがでしょうか,1,1990-02-20-1.0
20,21,1990-02-27,体はいやー！おばさん登場,今日はまだ時間が浅い→雨男→お笑い第3世代はマジメ→夢で逢えたらチームでサイパンに行った時の話→[ハガキ]二人のバレンタインの秘話を教えて下さい→近所の会館に来てほしい→ものまねコーナー,1,1990-02-27-1.0
21,22,1990-03-06,激突！チキチキがっちり買いましょう,この番組は見に来たくなくても来てる客がいる→東京の人は地震に慣れてる→[ハガキ]松ちゃんの本名は雪之丞と聞きました→浜ちゃんの高校時代の寮生活の思い出を聞かせて→クラスでダウンタウン、ウンナン、B21に関するアンケートを取りました,1,1990-03-06-1.0
22,23,1990-03-13,激突！チキチキ恐面くんを探せ！,今日は新幹線ではやく帰らないといけない→ほんまはもっと喋ってるけど編集で短くされてる→番組の企画でタイ万国にそっくりさんを探しに行った→お前はフィリピン系→新田マネージャーのコーディネート募集→[ハガキ]『欽ドン！ハッケヨーイ笑った！』に二人は出ていたと聞きましたが本当ですか？→ものまねコーナー,1,1990-03-13-1.0
23,24,1990-03-20,体はいやー！おばさん鬼ごっこ大会,前説がお客さんを冷めさせる→低血圧のイライラ→喫茶店でメニューを間違えられた→朝起きられない→体がピクピクする→髪の毛は生きている→熱いお茶を飲むと｢あぁ｣と言ってしまう→[ハガキ]2月20日放送のハガキコーナーで松ちゃんの話が途中で変わってしまいましたが何を話そうとしていたのですか？→浜ちゃんは最近太ってきた？→ものまねコーナー,1,1990-03-20-1.0
24,25,1990-03-27,無し(松ちゃんの遅刻でお流れ),こんだけ低予算の番組ない→中身のある話をしたい→口半開きで寝る浜田、目半開きで寝る松本→[ハガキ]お二人が出演していたミスタードーナツのCM覚えています(CM観賞)→高校時代の松本さんは泣く子も黙ると言われるほど恐れられていたと聞きました→ものまねコーナー,1,1990-03-27-1.0
25,26,1990-04-03,熱海インディーの秘宝チキチキ発掘大作戦,[ハガキ]新田さんをあまりイジメないであげてください→人気はどちらがあるのですか？→クイズです。象を冷蔵庫に入れる3つの条件とは？続けてキリンを冷蔵庫に入れる4つの条件とは？,1,1990-04-03-1.0
26,27,1990-04-10,激突チキチキ新田コーディネート大作戦！,浜田が寿司屋の出前の親父にキレた→松本がタクシー運転手にキレた→飲食店で品物に虫が混入してたらどうする→地下鉄で二人の足を踏んでも謝らなかったおっさんを蹴り倒した話→[ハガキ]中学の頃二人は六甲牧場を駆け下りて死にそうになったらしいですがどうして駆け下りたのですか→松本さんの好きなタイプを教えて下さい,1,1990-04-10-1.0
27,28,1990-04-17,チキチキ綱引き大合戦,しりとりで何を言われても｢す｣で返すことができる→子供の頃の遊び→[ハガキ]二人が学生の頃にやっていた時間差攻撃という遊びを教えてください→罰ゲームをかけたしりとり対決をしたい,1,1990-04-17-1.0
28,29,1990-04-24,チキチキわらしべ長者大合戦！,自宅マンションに来るブサイクな女のファン→罰ゲームをかけたしりとり対決→[ハガキ]教科書に掲載されている写真に浜ちゃんに似ている人が写っています,1,1990-04-24-1.0
29,30,1990-05-01,100万円はもらったも同然だ!! メイキング・オブ・仮装大賞（カメレオンで不合格）,[ハガキ]コンサートはやらないのですか？レコードはもう出さないのですか？→ものまねコーナー,1,1990-05-01-1.0
30,31,1990-05-08,罰ゲーム・SM亀甲縛りアルタ画面で番組宣伝!!,[ハガキ]二人は誰かと間違われたことはありますか→人間観察は面白い,1,1990-05-08-1.0
31,32,1990-05-15,イカすのど自慢天国大合戦!!,浜田の衣装が汚い→東武動物公園での余興(営業)の話→グリーンピア三木での営業の話→交通事故の話→[ハガキ]小学校3年生の弟がダウンタウンに弟子入りしたいと言い出しました。どうか返事をしてあげてください→お二人は学生時代にあまり思い入れがないのですか？面白い昔話があったら話してください→奥さんを誘拐した犯人が松ちゃんを殺せと要求してきたら浜ちゃんはどうしますか？→松ちゃんは野沢直子と仲が良い？,1,1990-05-15-1.0
32,33,1990-05-22,激突チキチキスターボーリング,プロ野球が盛り上がっている→芸能界におけるコメディアンの地位→野球のルールに納得がいかない→早口言葉に納得がいかない[ハガキ]学校をズル休みしてまで浜ちゃんの出待ちをするも会えませんでした。励みにGジャンをください→寒い(のでGジャンをください)→究極の選択。辞めるならどっち？笑っていいともとガキの使い→どっちかを殴れと言われたら？西川きよしと桂三枝→4、5年前にダウンタウンが出ていたひょうきん予備校に清川虹子さんがゲストで来たときにキスの犠牲になった二人の内の一人が松っちゃんだった気がするのですがどうでしょうか？,1,1990-05-22-1.0
33,34,1990-05-29,チキチキオセロ名人戦!!,トークのスタジオが遠い→セットが変更→ナンパの話→東京の店員相手にはAV借りにくい→大阪の男は日本で一番スケベ→学生時代の二人のスケベな話→[ハガキ]ケンタッキーでアルバイトしていた時、ドライブルスルーに自転車で入ってきたおばちゃんにケンタッキー5本頂戴！と言われて笑ってしまいました→浜田は鳥人間コンテストに出る？出ない？,1,1990-05-29-1.0
34,35,1990-06-05,チキチキハスラー３,最近ちびまる子ちゃんが面白い→雑誌の怪しい通販商品を実際に試したい→特許を取れば大儲け(下駄箱スルメ)→[ハガキ](セーラー服を着た女性アシスタントがモニターと共に登場)ミスタードーナツのCMで共演したことがあるんですけど覚えていますか？→究極の選択。街に行くのに覆面付けて裸か、素顔でビキニ姿→究極の選択。自分が出ているエロ本が母親に見つかる。母親が出ているエロ本を見つける→ものまねコーナー,1,1990-06-05-1.0
35,36,1990-06-12,チキチキ３分クッキング!!,つかみのギャグ→性的興奮作用があるガラナチョコレートを実食→スタッフが下駄箱スルメを作ってみた→視聴者プレゼント→[ハガキ]松本さんは仲の良い友だちの盲腸の手術をしたというのは本当ですか？→お互いこいつ良いやつだと思ったことはありますか？→二人はどんな食べ物が好きなんですか？,1,1990-06-12-1.0
36,-,1990-06-16,SP漫才を披露 25:10-26:10(60m),漫才をしないといけない→片頭痛→浜田は車に轢かれたことがある→一回死んだと思ったことがある→吉本興業のってるノッテル図→今田の一人コント→東野の一人コント→130Rのコント→オールディーズのコント→山田花子(オンエアではネタはカット)→ダウンタウンの漫才,1,1990-06-16-1.0
37,37,1990-06-19,チキチキマンガ道場!!,新しい番組の企画を考える→動物の話→松本は遅刻が多い→[ハガキ]浜ちゃんは大阪弁を使わずに話せませんか？,1,1990-06-19-1.0
38,38,1990-06-26,チキチキぼんさんが屁をこいた!!,浜田がドラマを始めた話→松本・紳助・さんまは歌下手ベスト3→演技力対決→[ハガキ]うちの学校には大阪だと笑われる｢馬場ダイ｣という生徒がいます→吉本とのギャラ交渉はどのようにしていますか？→林正之助会長のエピソード→桂三枝とやすしきよしのライバル関係,1,1990-06-26-1.0
39,39,1990-07-03,なし,下駄箱スルメ大抽選会→編集で切られている部分が多い→放送コードについて→お互いの悪口→[ハガキ]松本さんが浜田の妹はブサイクと言ってますが本当ですか？→お二人は何かに似ていると言われたことはありますか？,1,1990-07-03-1.0
40,40,1990-07-10,チキチキルパン三世アテレコ大合戦!!,松本の遅刻でトークが3時間以上遅れた→睡魔には勝てない→お詫びにお客さん150人にジュースを配る→[ハガキ]6月20日の放送で浜ちゃんと松ちゃんの頭上をハエが飛んでたんですがダウンタウンの二人は臭いのですか？,1,1990-07-10-1.0
41,41,1990-07-17,チキチキ初級英会話講座!!,松本が前回遅刻したので客にお詫びでジュース配る(200人で2万円）→可愛い部分を出していきたい→[ハガキ]プロ野球でセリーグが勝つかパリーグが勝つか賭けるのはどうでしょうか,1,1990-07-17-1.0
42,42,1990-07-24,チビッ子なんでも相談室,電車で来たから来るのが遅くなった→5時にここに来る人間がなぜ4時50分に東京にいたの？→[ハガキ]松本さんが高校時代にホテルに彼女に行ったときホテルで火事を起こしたって聞きましたが本当ですか？,1,1990-07-24-1.0
43,43,1990-07-31,プロ野球オールスター予想対決,スカイダイビングやるにあたって考えた→[ハガキ]ノンノでデートしたい100人の100位内に二人が入ってましたがウッチャンナンチャンに負けてしまった感想を→松ちゃんは仕事が嫌いなのですか？,1,1990-07-31-1.0
44,44,1990-08-07,罰ゲーム　浜ちゃん決死のスカイダイビング!!,スカイダイビングでの体験,1,1990-08-07-1.0
45,45,1990-08-21,新体操の女王　浩子ちゃんと踊ろう！,最近した研究→[ハガキ]写真集を出していたと聞いたんですがどんな物なんですか？売れたんですか？→怪談話の季節ですがダウンタウンの二人はなにか恐ろしい体験をしたことがありますか？,1,1990-08-21-1.0
46,46,1990-08-28,占いクイズ合戦　さて何でしょう？,男のファンはヘン→道歩いててちょっかい出されたことある→京都のディスコであった怖い話→両刀→[ハガキ]浜ちゃん決死のダイビングは感動的でした。この次も頑張ってください→ダウンタウンの二人は親のHを聞いたり見たりしたことはありますか？,1,1990-08-28-1.0
47,47,1990-09-04,仮装大賞ヨカッタヨーン!!,全日空で一時間半も待たされた→新幹線でうるさかった→グリーン→[ハガキ]大阪にブラッキーズという松ちゃんの親衛隊がいたと聞きましたが本当ですか？→ぼくのおじいちゃんにあだ名を付けてほしいんです→私は女で背が186cmもあるんです。どうすれば目立たなくなるんでしょうか→ダウンタウンの二人はバッタもんを買ったことがありますか？→松ちゃんはアルタでファンの人が叫んでもシカトしていますが松ちゃんはファンの人が嫌いなんですか？,1,1990-09-04-1.0
48,48,1990-09-11,じぃちゃんばあちゃんかくれんぼ!!,新聞にダウンタウンは解散するという記事が載った→[ハガキ]この前アルタに松本さんを見に行ったら機嫌が悪かったのですが？,1,1990-09-11-1.0
49,49,1990-09-18,がっちり買いましょうIN沖縄!!,沖縄来たのは4回目か5回目ぐらい→沖縄で紹介された物→[ハガキ]ダウンタウンの二人はなにかお稽古ごとはやりましたか→ダウンタウンの二人は学生時代バイトしていましたか？,1,1990-09-18-1.0
50,50,1990-09-25,ビーチバレーIN沖縄!!,日本でどこが一番好きか→大阪→子供の名前どうする→[ハガキ]昔ダウンタウンの二人がスナックでアルバイトをしていたとき、襲われそうになったと聞きましたが本当ですか→ダウンタウンの二人は追っかけのことをどう思っているのですか？これからやろうと思っている私にアドバイスをお願いします→松っちゃんはいいともで黒のグラサンなどしてカッコ付けていますが何さまのつもりなんですか,1,1990-09-25-1.0
51,51,1990-10-02,仮装大賞予選,[ハガキ]松本さんが痔の手術をしたときの看護婦は私の姉です→浜ちゃん、松ちゃん私に彼氏を紹介してください、スタッフに誰かいませんか？電話待ってます,1,1990-10-02-1.0
52,52,1990-10-09,仮装大賞・100万円はもらったも同然だ！（合格ラインで合格！）,19点取れたので上等→一点入れなかったやつは誰なのか→次は人文字に挑戦する,1,1990-10-09-1.0
53,53,1990-10-16,Mr.レディと腕相撲大会!!,[ハガキ]浜田さんは大先輩を呼び捨てにしていますが芸能界では生きていけるんですか？→4時ですよ〜だで抱きつくのはいつも松本さんだということが分かりましたが、松本さんがこれだけ抱きついていることに対し浜田さんはどう思っているのですか？→彼氏が浮気をしていたので「浜ちゃんにやってもらう」と言ったら「お前程度のテクニックでは浜ちゃんは相手にせえへん」と言われました。頭に来たので別れるにして何かしてから別れたいです。浜田さんテレビで返事をしてください、アホな彼氏に一言言ってください。,1,1990-10-16-1.0
54,54,1990-10-23,お見合い大作戦,緊張してる人間っておもしろい→ヤクザの女に手を出した松本→つかぐちさん→[ハガキ]ダウンタウンのお二人が、酔っぱらったときや寝ぼけたときにしてしまったことを教えてください,1,1990-10-23-1.0
55,55,1990-10-30,マジック種明かし大作戦!!,研究→人の表情は何種類あるのか→日本人は表情作るのが下手→9年ぐらい前、この世界入ってすぐの話→[ハガキ]二人はいとしこいしさんに似ていますね→電車でせんずりをこいていたおじさんを見た。男の人はどうしてこういうことをするのですか、浜ちゃん松ちゃんはそういうことをしたことがありますか、これからも頑張ってください,1,1990-10-30-1.0
56,56,1990-11-06,早く言ってよ！エッチ言葉しりとり大作戦!!,休みが欲しい→人間のレギュラーの限界は週に三本→それいけダウンタウン→乗馬したい→疲労困憊→新田が家におこしにきた話→[ハガキ]私の母はテレビにダウンタウンが出るたびに「あ、ヤクザ」と言って見てるのに消しちゃいます,1,1990-11-06-1.0
57,57,1990-11-13,1000人企画・３年Ｂ組金八先生,次の対決はどうする→次の対決では勝った方が望みを叶えるというのはどう→罰ゲームでバンジージャンプ→チンパンジーチョップ→カンガルーとボクシング,1,1990-11-13-1.0
58,58,1990-11-20,ゴルフ対決前哨戦,出来るスポーツ→罰ゲーム→罰ゲームで家族全員連れてくるというのはどうか→罰ゲームでスペインで闘牛やりに行くか→[ハガキ]浜ちゃんは昔車の中で生活していたらしいですがその生活を教えてください→松本さんのせいで勇気がイケイケになってしまいました。昔の勇気に戻して,1,1990-11-20-1.0
59,59,1990-11-27,クイズヅラを探せグランプリ!!,罰ゲーム決め,1,1990-11-27-1.0
60,60,1990-12-04,ガキ版ピッタシカンカン!!,双方がしたひどい話→[ハガキ]うちの母はダウンタウンが出ているとおぼんこぼんが出ていると言います,1,1990-12-04-1.0
61,61,1990-12-11,ゴルフマッチプレー!!,浜田が今田東野にした話→陸橋の階段で荷物を持っているお婆さんがいたらおぶってあげるか？,1,1990-12-11-1.0
62,62,1990-12-18,ダンスダンスざんす!!,人間がいらんことするから天が怒っている→占いによると来年はあまり良くないらしい→おかしな雑誌の占い→お守りは信用しない→[ハガキ]昔、チチクリマンボというのをやっていたそうですが、どのようなものかを見せてください→タモリンピックを見てると、松本さんにはやる気が感じられますが、浜ちゃんは嫌そうに見えます。浜ちゃんはタモリンピックがきらいなのですか？,1,1990-12-18-1.0
63,63,1990-12-25,罰ゲームさん、いらっしゃーい!!,松本と浜田の罰ゲームに対する扱いの違い→［ハガキ］修学旅行の話→床の間でうんこした理由→［ハガキ］浜田さんの特技はハンバーク手だと聞きました。見せてください。,1,1990-12-25-1.0
64,-,1990-12-29,SP『ウッチャンナンチャン＆ダウンタウンスペシャル〜SHA.LA.LAの使いやあらへんで!!〜』 14:00-15:25(85m),なし,1,1990-12-29-1.0
65,64,1991-01-08,なぐって！なぐって！さて何んでしょう!?,どっちかタバコ止めようか→浜田は屁を止めてくれ→科学がどんどん発達していくのは困る→[ハガキ]下唇を両手で引っ張り、唇を頭にかぶせるぐらいが出産の痛みと同等だと思います。浜田さんやってみてください。,1,1991-01-08-1.0
66,65,1991-01-15,チキチキ良い子悪い子普通の子!!,浜田が私服ばかり着てくること→昔自転車盗まれたことが原因で家族喧嘩になった話→[ハガキ]今年でダウンタウンは芸能生活10周年なので写真集を出してみては如何でしょうか,1,1991-01-15-1.0
67,66,1991-01-22,ダウンタウンなんて嫌いや！チキチキ目安箱,本番前にうんこしてた→うんこした後手洗うか？→バッティングセンター→[ハガキ]去年の暮れにチェッカーズのラジオ番組に野沢直子が出ていて浜ちゃんて時々フミヤは似ているといわれフミヤさんも俺も似てると思うなどと言っていました。浜ちゃん良かったですね→まるでリトマス試験紙のようにイモ食えばへが出るのですがどうすればいいでしょうか,1,1991-01-22-1.0
68,67,1991-01-29,ドラフト会議,[ハガキ]スクールウォーズのイソップをアンデルセンと母親が間違えていました→浜ちゃん松ちゃんあけましておめでとうございます。これは大分前の話なのですが私の姉が沖縄のバーで働いていて浜田さんが来てカラオケを独占していたと聞きましたが本当ですか？,1,1991-01-29-1.0
69,68,1991-02-05,涙の1000本ノック!!,[ハガキ]1月22日、妹が上京してきたという事実はないのでしょうか？私はその日浜田さんそっくりの女性を見かけたのですが。→松ちゃんはハンサムだと思うのですが,1,1991-02-05-1.0
70,-,1991-02-11,SP『ダウンタウンのガキの遊びやあらへんで!!〜ダウンタウン改造計画〜』16:00-16:45(45m),なし,1,1991-02-11-1.0
71,69,1991-02-12,オールスター夢の球宴!!,[ハガキ]松本さん、少しは大友さんに女を回してやってください,1,1991-02-12-1.0
72,70,1991-02-19,罰ゲーム　冬の湘南　赤フンドシで寒中水泳!!,スタイリストの用居した服が気に行ったので買い取り→帽子→[ハガキ]ブスが活躍できる場を作ってください,1,1991-02-19-1.0
73,71,1991-02-26,早くいわんかい!!,浜田の舞台用の今日のファッション→帽子のチャックが開いたり閉じたりする→仕事のペース→速い乗り物には乗らない方がいい→一週間の内5日は休みたい→大阪人と東京人で結婚した方がいい→[ハガキ]松本さんは好きな人と相方ぐらいだったら守れると言いますが本当ですか？,1,1991-02-26-1.0
74,72,1991-03-05,100人に聞きました　えっ!!どーなん?!,女優の写真集を見た→この番組の罰で写真集を出すか→今日免許証入ってるサイフ落とした→楽屋でサイフ取られたこともある→新幹線で切れた話→小学校のとき一日中ついてない日があった,1,1991-03-05-1.0
75,73,1991-03-12,減点パパ,サイフをまた紛失した→前の日に履き替えたパンツを取られた→[ハガキ]「まっちゃんのごぼう」というのがある→時々松本さんがズボンを脱いでいるというのがあります。理由はありますか？,1,1991-03-12-1.0
76,74,1991-03-19,ごっつううまいねん?!　チキチキ　ヤミ鍋対決!!,浜田の子供誕生が明日らしい→この前謝恩会のやつらに突然胴上げさげた話→豆級が常に光ってるが省エネを考えろ→ご飯のおかず→菜食家→動物を殺すことは許せない→魚はどこまで魚か,1,1991-03-19-1.0
77,75,1991-03-26,ＡＤ大友争奪戦!!,[ハガキ]新幹線は男か女か？傘は男か女か？,1,1991-03-26-1.0
78,76,1991-04-02,身体衰弱！,今日は浜田に教訓を与えたい→浜田はよくズル休みする→唯一のマネージャーである新田は浜田に首ったけ→野沢は休んでいるのに給料が出る→今度のギャラ交渉→ショーバイショーバイでの、関口宏に対する浜田の行動→客もスタッフもびっくりして白髪になった→ライオネス飛鳥が登場,1,1991-04-02-1.0
79,77,1991-04-09,じぃちゃんばぁちゃんジェスチャー大作戦!!,セットが代わった→うちの番組のスポンサー→スポンサーは商売してる商品楽屋に持ってこい→[ハガキ]山手線の駅のトイレ掃除をしてください→松っちゃんは喧嘩が強いと言っていますが小学生相手なら何人までなら勝てますか？→松っちゃんは浜ちゃんのように映画やドラマに出演しないのですか？浜ちゃんは松っちゃんの演技力はどのくらいの物か知っていますか？,1,1991-04-09-1.0
80,78,1991-04-16,第２回1000人企画!!,照明さんを誤って転ばした→温かい部分を出していかないと→[ハガキ]ダウンタウンの二人は二人で遅刻してくるやつでろくなもんじゃないという話を聞きましたが本当ですか→私はチームゼロの山崎さんが大好きです。少しでも山崎さんをテレビに出してください,1,1991-04-16-1.0
81,79,1991-04-23,山崎家お宅訪問!!,睡魔が襲ってきた→頭がクラッシュしてるファンに会った→[ハガキ]松っちゃんは左利きらしいですが左利きの人は右利きの人より寿命が10年短いことを知っていましたか？→浜田さんは凄い学校行ってたんですね、そのときの話をしてください,1,1991-04-23-1.0
82,80,1991-04-30,世界新記録に挑戦!!,今日ははやく帰らないといけない→選挙のポスター→ドッチボール大会の罰ゲーム,1,1991-04-30-1.0
83,81,1991-05-07,F1グランプリin東京!!,松本が16の女のやばいやつに誘われた→松本の親,1,1991-05-07-1.0
84,82,1991-05-14,ドッヂボール大会前哨戦!!,ゴールデンウィークはムカつく,1,1991-05-14-1.0
85,83,1991-05-21,心頭滅却すれば火もまた涼し大作戦!!,何を喋ろう→適当なこと喋れツッコむから,1,1991-05-21-1.0
86,84,1991-05-28,1000人企画・500vs500ドッヂボール大会!,今日から男を磨く→眉毛,1,1991-05-28-1.0
87,85,1991-06-04,罰ゲーム・ハゲづらでジェットコースター,[ハガキ]二人は恥ずかしい思いをしたことがありますか？,1,1991-06-04-1.0
88,86,1991-06-11,テレクラ大作戦!!（高須どっきり）,ゴルフ話→野球→人間は猿になる前は魚だった→エンジェルはいつでも羽根を出して飛べる→今日のオープニングの高須の汚さ,1,1991-06-11-1.0
89,87,1991-06-18,エースを狙え!!,最近前説が多すぎ3組ぐらいいる→季節で夏が一番嫌体がだるいから→クーラーから変なにおいがたまにする,1,1991-06-18-1.0
90,88,1991-06-25,第２回山崎家お宅訪問・ドッキリカメラ,君たちの手の届かないスターになった,1,1991-06-25-1.0
91,89,1991-07-02,どっちのファンなのでしょう!!,体がだるい→間寛平→ジミー大西→ノストラダムス→今西暦何年？→[ハガキ]先日魔がさして欽ちゃん走るを見てしまったんです。番組で欽ちゃん走りが得意な人を募集していたので浜田さん出てください,1,1991-07-02-1.0
92,90,1991-07-09,めざせ浜ちゃんの欽ちゃん走り猛特訓!!,子供がうるさい→休みたい→[ハガキ]私の家の近くに浜田という家と松本という家があり、二軒とも73歳のお爺さんがいます。,1,1991-07-09-1.0
93,91,1991-07-16,浜ちゃん走るッ,リーダー→俺が誘わなかったら印刷に就職してた→衣装の女の子にハゲ→今やったら誰の弟子につきたい？→[ハガキ]私は浜ちゃん松ちゃんの大ファンです。私を二人の師匠にしてください→浜ちゃんは最近自動車教習所に通い始めたらしいですが松ちゃんが浜ちゃんの教官になってしごき倒すというのはどうですか,1,1991-07-16-1.0
94,92,1991-07-23,めざせ松本・ハンターへの道!!,[ハガキ]芸能人も有名人が夢にでてきたことはあるのですか？,1,1991-07-23-1.0
95,93,1991-07-30,どっちがもてる男やねん!!,[ハガキ]フロムAの深夜の好きな番組でカノッサが1位、ガキの使いが2位でカノッサは終わってしまったのでガキの使いが実質1位だと思うのですがどうですか？,1,1991-07-30-1.0
96,94,1991-08-06,天狗になっているパーマン２号をこらしめよう!,昨日から余り寝てない→暑い,1,1991-08-06-1.0
97,95,1991-08-20,ご存知！すり鉢与兵衛,要らん噂話を流すやつが多い,1,1991-08-20-1.0
98,96,1991-08-27,あつあつガマン大会!!,浜田の服装,1,1991-08-27-1.0
99,97,1991-09-03,100回記念は何をやりましょう!!,[ハガキ]水前寺清子のことをなぜチーターというか,1,1991-09-03-1.0
100,98,1991-09-10,秋だ味覚だ！早喰い大喰い大会!!,衣装チェンジ,1,1991-09-10-1.0
101,99,1991-09-17,パーマン２号・パネルプレゼント!!,わきがの運転手→和田アキ子に捕まる,1,1991-09-17-1.0
102,100,1991-09-24,100回記念・生放送スペシャル!!,祝ゴールデン進出決定,1,1991-09-24-1.0
103,101,1991-10-20,商店街まるごと間違い探し!!,へをこくこと→うんこでとぐろが巻けるか→特技,1,1991-10-20-1.0
104,102,1991-10-27,決死の山くずし大作戦!!,マンションの住人には気付かれたくない,1,1991-10-27-1.0
105,103,1991-11-03,泣ぐ子はいねーがぁー大作戦!!,切った盲腸はどうする→散発した髪はどうしてる→鼻はなぜここにあるか→人間ドッグ→CTスキャン→彼女は何人いる？→嫁以外に彼女は何人いる？,1,1991-11-03-1.0
106,104,1991-11-10,第２回輝けヅラクイズグランプリ!!,ヒゲぐらいそってこい,1,1991-11-10-1.0
107,105,1991-11-17,第２回じっちゃんばっちゃんかくれんぼ！,オカマバー行ったことある？→外人の露天商が最近多い→電話ショッピング→オゾン層の破壊→死ぬときはパンツ代えとけよ→[ハガキ]最近気付いたのですが貧乏人は足が速いというのは本当ですか？,1,1991-11-17-1.0
108,106,1991-11-24,コーディネイト大作戦!!,スケジュールキツいのにようあんなしょうもないドラマやってるな→子供の頃は警官になりたかった→パッチじゃなくてこっちはももひきと言うらしい,1,1991-11-24-1.0
109,107,1991-12-01,世界一決定戦・どっちが強いでしょう!!,今度人間に生まれ変わるかどうかは分からない→ごっつい不細工な人間と、ごっつい男前なヤギならどっちが良いか？→人間の体は結構単純→なぜゴルフが嫌いか、あいうえお作文で説明する→一番儲かるスポーツは何か？→[ハガキ]お弁当に妙なものを入れられた経験はありますか？→松ちゃんに質問です。てんてこ舞いというのは、どういう踊りなんですか？,1,1991-12-01-1.0
