date,description_ja,dupe_number,day_order
2010-12-12,今週のガキの使いは、先週に引き続き「怒り王」「お腹痛い王」に続く、シリーズ第３弾「クリスとイっちゃった王」。                     後輩や芸人仲間を相手に、クリス松村とベットを共にしてしまったという演技で競う。ほっしゃん。は、仲の良いスタイリスト、サンドウィッチマン・伊達は後輩芸人をターゲットに挑戦する。クリスとベットインしてしまった事をどうやって告白するのか！？そして、それを聞かされた相手は一体・・・？さらに、優勝者は！？,1,2010-12-12-1
2010-12-19,今週のガキの使いは、１３年連続総合司会に選ばれたダウンタウンの元・マネージャー藤原寛による２０１０年 ガキの使いベスト１０。バスに乗って１００個の豆知識を５人で出し尽くすまで帰れない「豆知識でＧＯ！ＧＯ！」や、お腹が痛くなった演技で後輩芸人や仲間を信じ込ませる「腹痛い王」など、２０１０年に生まれた新たな企画が、多数ベスト１０入りする中、果たして、１位に選ばれる企画は何なのか！？ガキ使名物キャラ達も登場！,1,2010-12-19-1
2010-12-26,今週のガキの使いは、いよいよあと5日後に迫った大晦日6時間放送「絶対笑ってはいけないスパイ」の記者会見の模様を一挙放送。松本をはじめ、とにかく今年はキツかったという。いろんな意味で風呂場での出来事がキツかったという遠藤。毎年恒例になっているあのプロレスラーＣの怒声がトラウマになっているという山崎。そして、引き出しネタで地獄を見てきた田中。今年は、一体、どんな展開が待ち受けているのか！？乞うご期待！,1,2010-12-26-1
2010-12-31,ガキの使い大晦日年越し６時間スペシャル！絶対に笑ってはいけないスパイ24時始動！大物歌手がむかし話の主人公で美声大熱唱！極道マル秘女優が５人にドスをきかせてキレる！                    アノ芸人が変装で５人を笑い地獄に陥れる！ トレンディ俳優たちが田中を大絶句させる！ 女優＆球界スター＆おじいさんが夢の競演！ 芸人軍団が身体を張って新マシーンに挑む！おブス女芸人セクシーユニット踊りまくり！恐怖！全員大絶叫深夜の驚いてはいけない！,1,2010-12-31-1
2011-01-09,今週のガキの使いは、昨年の大晦日、６時間に渡って放送された「絶対笑ってはいけないスパイ２４時」の未公開シーンを一挙放送！５人が待機する指令室でそれぞれに配られたスパイ手帳の秘密。引き出しの中から登場し５人を何度も苦しめた小さな浜田人形の未公開シーン。朝礼の際、登場していたマル秘殉職者 のしつこすぎるシーン。さらには、時間の都合でカットせざるを得なかったマル秘食事ゲーム など、笑ってしまうシーンが目白押し！,1,2011-01-09-1
2011-01-16,今週のガキの使いは先週に引き続き、昨年の大晦日６時間に渡って放送された「絶対に笑ってはいけないスパイ２４時」の中で泣く泣く未公開となった名シーンを一挙放送！新人スパイとなった５人が「ガースー黒光り諜報部」に向かう途中、バスの中で想定外のトンデモない珍騒動が起こっていた…！そして、諜報部に囚われていた危険人物たちも、さらに信じられない危険な素顔を見せていた！といった名場面をお見逃しなく！！,1,2011-01-16-1
2011-01-23,今週のガキの使いは、今年で22回目を迎えたガキの使い大新年会。鏡割りから始まり、今回で5回目を迎えた恒例企画・山崎主催の山-1グランプリが幕を開ける。M-1もなくなった今、お笑い界のスターはここから誕生すると豪語する山崎。昨年は、ねずっちや楽しんごといったブレイク芸人たちも誕生した。13組の若手から熟年の芸人がグランプリを目指してしのぎを削る！果たして、優勝の栄冠を手にする芸人は誰なのか！？,1,2011-01-23-1
2011-01-30,今週のガキの使いは、先週に引き続き今年で２２回目を迎えたガキの使い大新年会。その中で恒例企画となった山崎主催の山―１グランプリ。Ｍ－１もなくなった今、お笑い界のスターはここから誕生すると豪語する山崎。昨年は、ねずっちや楽しんごなどブレイク芸人を輩出してきた。後半戦は、マル秘オカマ芸人や熱血歌ネタ、さらには決して若手とはいえない芸人たちがしのぎを削る！果たして、優勝の栄冠を手にするのどの芸人なのか！？,1,2011-01-30-1
2011-02-06,今週のガキの使いは、絶対に笑わせなければならない過酷な状況の中で自ら考えた変化ネタを披露し、ダウンタウンをはじめガキメンバーやスタッフを笑わせなければならない七変化。そんな七変化の34人目の挑戦者は、他の追従を許さない独自の世界観に見る者を引き込む野性爆弾・川島。一つ目のネタから最後のネタまで、川島がこだわったある一貫したテーマが貫かれている。果たして、何位にランクインすることができるのか！？,1,2011-02-06-1
2011-02-13,今週のガキの使いは、大晦日に放送された「絶対に笑ってはいけないスパイ24時」で放送できなかった秘蔵ＶＴＲ。なんと、そのＶＴＲは海外ロケを敢行していた！実は、世界のヘイポーがスパイとなってフィリピンの犯罪組織を壊滅すべく、潜入捜査を行っていたのだ。フィリピンで自ら危険地帯に身を置き、ひったくり組織をおびき出そうという作戦なのだが・・・数々のトンデモないヘイポーの言動にガキメンバーもア然！果たして…！？,1,2011-02-13-1
2011-02-20,今週のガキの使いは、２回目の放送からガキの使いに出演し続けている山崎が絶妙のツッコミを披露すると宣言。自ら２０１１年をツッコミ元年と位置付け、これぞツッコミの鏡という上質のツッコミを見せるという。そもそも山崎は自分のツッコミの基礎体力はハンパないと豪語する。レストランでガキメンバーがさまざまなボケを用意して待つ中、ツッコミに目覚めた山崎は、一体、どんなツッコミを入れるのか！？,1,2011-02-20-1
2011-02-27,今週のガキの使いは、ききシリーズ第２８弾となる「ききりんごジュース」。それぞれ特徴が違う１５種類のりんごジュースの中から目隠しをして飲んだ味を覚え、自分が飲んだ物を当てる。前回は、松本不在の中行われたが今回は松本も入ってガキメンバー５人で行う。ききりんごジュースは「酸味」や「どろっと感」が判断の基準になるが、果たして、１５種類の中から見事、自分が飲んだりんごジュースを当てられる者はいるのか！？,1,2011-02-27-1
2011-03-06,今週のガキの使いは、電話で予約しないと食べられない程、今、人気の「餃子の王将」で全メニューを食べ尽くす企画に挑戦。そこで、今回は、新年会以来、ガキの使い注目の芸人×‐ＧＵＮの２人を助っ人として呼ぶことに。そして、餃子の王将イチオシメニューが運ばれてくるが…何気ない浜田の質問に対する、さがねの返しの一言が引き金となって西尾の痛烈なダメ出しがはじまる。果たして、２人の行方は！？,1,2011-03-06-1
2011-03-20,今週のガキの使いは、今年８０歳を迎えるガキの使い最長老名物キャラ・ピカデリー梅田ＳＰ！これまで占い師・スタントマン・ホスト・考古学者・ＵＦＯ研究家とさまざまな顔を見せて来たピカデリー梅田。ある時は、なんでも言い当てるカリスマ占い師。また、ある時は、恐いモノ知らずのスタントマン。また、ある時は業界のタブーに挑むＵＦＯ研究家。未だ新たな顔を見せ続けるピカデリー梅田の底知れない魅力に迫る。,1,2011-03-20-1
2011-03-27,今週のガキの使いは、２回目の放送からガキに出演してきた山崎が、今度こそ本当にガキを卒業すると言い出す。そして、最後にガキメンバーの想い出を目に焼き付けておきたいと、山崎プロデュースで歌った松本やスカイダイビングを行った浜田。さらには、ドッキリ企画で田中がどえらい目にあったシーンなど、これまで行ってきたメンバーたちの名場面を振り返る。そして、みんなに見送られ、涙ながらの別れを告げるのだが・・・！？,1,2011-03-27-1
2011-04-03,これまでダウンタウン、ココリコ、次長課長、 フットボールアワーの4組が先輩、後輩入り 乱れてコンビ対抗で様々な競技を行ってきた。 しかし、なぜか決まってダウンタウンの2人 が理不尽に…それは、よしもと芸人のかるたを取りあう「かるた大会」、コンビに関するク イズに答える「クイズグランプリ」、簡単なゲ ームに負けるとパイを受ける「パイ投げ地獄」 など、コンビ対抗を行うと、何故か必ず理不 尽になる松本と浜田の姿をご覧下さい！,1,2011-04-03-1
2011-04-10,板尾がパワーアップした嫁と娘を連れてやって来て、嫁と寄りを戻したお祝いにガキメンバーと一緒にカラオケに行きたいという。仕方なく板尾ファミリーとカラオケＢＯＸへ・・・一番手の山崎がラブ・イズ・オーバーを歌うのだが、何故か嫁が突然の号泣！！さらに、その後もメンバーが歌う度に嫁がトンデモない事になってしまう！果たして、板尾の嫁は、どうなってしまうのか・・・！？                     そして、板尾ファミリーの結末は・・・！？,1,2011-04-10-1
2011-04-17,今週のガキの使いは、ダウンタウン、ココリコ、次長課長、フットボールアワーの4組が先輩、後輩入り乱れて『コンビ対抗！クイズグランプリ～！！』で豪華賞品をかけて対決。「よしもと」「動物」「なぞなぞ」「ゲーム」４つのジャンルで１０ 点から５０点まで難易度の違うクイズをコンビごと順番に選んで答えて行く。しかし、なぜか、ダウンタウンの2人が理不尽に…自分の番だけでなく、他のコンビに対してまで、どんどんエスカレート！果たして・・・！？,1,2011-04-17-1
2011-04-24,今週のガキの使いは、テニスの王子を目指すべくガキメンバーたちがテニスを習う。しかし、イケメンのテニスコーチに対して遠藤の妄想が暴走。コーチのお尻をどうしても手に入れたいという妄想に駆られる。準備体操にはじまり、ラケットの握り方、さらに、テニスボールを使っての実践練習まで、イケメンコーチの一挙手一投足が遠藤のエロ妄想に発展。一体、この男の限界知らずの妄想はどこまで続くのか！？,1,2011-04-24-1
2011-05-08,今週は、普通、芸人であれば空気を読んだり笑いに走ってしまう、「叩いてかぶってジャンケンポン」をガチンコで行うＴＫＪ第２回大会！前回優勝の遠藤と準優勝のカンニング竹山以外は、全員、新顔で開催。はんにゃ金田やロッチコカド、といった若手から、ドランク塚地、ビビる大木、ＴＫＯ木下といった中堅までが真剣勝負を繰り広げる。大会のジャッジを行うのは、前回に引き続き関根勤。果たして、ＴＫＪの頂きに登りつめるのは！？,1,2011-05-08-1
2011-05-15,今週は、先週に引き続き、芸人であれば空気を読んだり笑いに走ってしまう、「叩いてかぶってジャンケンポン」をガチで行うＴＫＪ！いよいよ満を持して、前回の優勝者・遠藤と準優勝者・カンニング竹山が登場！さらに、トータルテンボス・藤田、ビビる大木、ＴＫＯ・木下、ドランクドラゴン・塚地といった未知数の選手たちが続々、登場！前回の大会より格段にレベルが上がった壮絶バトルで、ＴＫＪの頂きに登りつめるのは誰なのか！？,1,2011-05-15-1
2011-05-22,今週は、芸人であれば空気を読んだり笑いに走ってしまう、「叩いてかぶってジャンケンポン」をガチで行うＴＫＪの決勝！いよいよ、一回戦を勝ち抜いた８人の精鋭がＴＫＪの頂を目指す！はんにゃ・金田との激戦を制したロッチ・コカド、激辛カレーのパワーを得て未知の力を発揮したカンニング竹山、トンデモない暴露ネタの衝撃を乗り越え、新境地に入った遠藤といった強豪がそろう中、ＴＫＪ杯の栄冠をつかみ取るのは誰なのか！？,1,2011-05-22-1
2011-05-29,今週は、松本が本当に好きなモノを他のメンバー達が、ちゃんとわかっているか試すため、巨大な墓の中にいる松本の前に、松本が好きそうなモノを順番に置いていくことに・・・。ちゃんと好きなモノを松本の前に置けば、松本は墓から手を伸ばしてそれを取って行くが、間違って、メンバー達が好きじゃないモノを置いてしまうと、予想もできないトンデモない事がメンバーたちを待ち構えている。果たして、どんな災難が待ち構えているのか！？,1,2011-05-29-1
2011-06-05,今週は、「思い出ソングドライブ」生憎の雨の中、ガキメンバーが、それぞれお気に入りのアルバムを持ち寄り、みんなでドライブしながら、その曲に対する思い出を発表していく。トップバッターで思い出曲をかけたのは松本。佐野元春の名曲で、それは、かつて、ダウンタウンの出囃子にもなっていたという曲だった！そんな曲を聞きながらダウンタウン結成当時の秘話を松本が語りだす。果たして、メンバーからどんな思い出が語られるのか！？,1,2011-06-05-1
2011-06-12,今週は、久しぶりの教室シリーズ。村上ショージの「殿様教室」に呼びつけられるメンバー。殿様が言いそうな言葉を全員で言い合い勢いをつけた一同は、殿様になるために必要なやぶさめの訓練や、戦に勝った時の祝賀会の訓練を行ったり、埋蔵金を探す訓練などを行っていくが、ショージの暴走は、止まらない！！さらに、先週に引き続き、車に乗りながら思い出の曲を持ち寄る「思い出ドライブ」では、松本と浜田、２人の秘話が語られる。,1,2011-06-12-1
2011-06-19,今週は、「これやってみたかってん石焼ビビンバ」ガキメンバーがこれを作ったら絶対に旨いと思う、オリジナル石焼ビビンバを２品ずつ作る。前回、ぬか漬けではふるわなかったメンバー。今回の石焼ビビンバで１０点満点を目指す！見た目や味、冒険度、など、様々な要素で評価される。先頭バッターの田中が、ある定番のダシをふんだんに使った石焼ビビンバで、高評価を得るが・・・果たして、どんな新食感のビビンバが生み出されるか！？,1,2011-06-19-1
2011-06-26,今週は、あらかじめドッキリにかけられる事をわかった上で、それを知らないふりをして、斬新でおもしろいリアクションを山崎が披露していくという。何が起こるかわからない９面パネルに「お色気ドッキリ」など、往年のドッキリ企画ばかりがラインナップされる中、たとえば、「お色気ドッキリ」であれば、胸元がチラチラ見えるセクシーＡＤにどうリアクションするのか！？果たして、分かった上でも山崎のリアクションは斬新になるのか！？,1,2011-06-26-1
2011-07-03,今週は、これまでに作曲した数、３０００曲。大阪で知らない人はいないという音楽界の重鎮！キダ・タロー１００のコト。１００問の質問を通して、キダ・タローという人間が徐々に浮き彫りになって行くのだが…オープニングのキダ・タローの趣味は？という問題からいきなり意外過ぎる答えに度肝を抜かれるガキメンバー。いつにもまして予想を裏切る回答が連発！さらに、松本人志に対する秘話もキダの口から語られる！果たして・・・！？,1,2011-07-03-1
2011-07-10,今週は、時間無制限！ガラス割りにらめっこ大相撲。松本チームと浜田チームに分かれてお互いがヘンゲした状態でガラスを突き破ってにらめっこ対決を行う。ガキメンバーに加え、腰振りおばちゃん、新おにぃなど、強烈なメンバーがそろう中、自分のタイミングでガラス窓を突き破って、にらめっこ真剣勝負！トップバッターは松本チームのピカデリー梅田と浜田チームのヨシノブが激突！果たして、どちらのチームが勝つのか・・・！？,1,2011-07-10-1
2011-07-17,今週は、ターゲットの前でビートたけしさんになりきり、たとえ相手に気付かれようが、ずっとなりきる「なりきりたけし王ＧＰ」かなりタフな精神力が必要なこの企画に、ココリコ遠藤、カンニング竹山、蛭子能収、ウエンツ瑛士といったメンバーが挑戦する！『首振り度』『メンタル』『ワードセンス』『軍団感』『大物度』といった要素で評価され、自分から「コマネチ！」と言うまでなりきるのだが、果たして、どんなたけしが生まれるのか！？,1,2011-07-17-1
2011-07-24,今週は、ターゲットの前でビートたけしさんになりきり、たとえ相手に気付かれようが、ずっとなりきる「なりきりたけし王ＧＰ」の後編。かなりタフな精神力が必要なこの企画に、山崎邦正、過去２回優勝しているＥＬＴの伊藤、そして、たけし軍団からの刺客が挑戦する！『首振り度』『メンタル』『ワードセンス』『軍団感』『大物度』といった要素で評価され、自分から「コマネチ！」と言うまでなりきるのだが、果たして、優勝するのは!?,1,2011-07-24-1
2011-07-31,今週のガキの使いは、車を運転しながら景色やモノを見て、思いついた豆知識を披露していく「豆知識ドライブあっ！ＧＯ！ＧＯ！」第２弾！汐留を出発して甲州街道をひたすら西に向かってドライブ。全員で１００個出すまで戻れないというルール。松本がボーリング場を見て、思いついた松本が考案したモノに関する豆知識とは？さらに、高層ビルを見て遠藤が思いついたディズニーランドに関する豆知識とは？さまざまな豆知識が続々登場,1,2011-07-31-1
2011-08-07,今週は、絶対すべれない過酷極まりない状況の中、自ら考えた７つの変化ネタを披露する七変化。３５人目の挑戦者は森三中・黒沢。 村上、大島が見守る中、友近に次いで女性芸人としては２人目の挑戦者。はじめる前に何位を狙うか聞かれ、浜田の強烈なツッコミが入る。黒沢の目標は真ん中ぐらいとういが・・・一つ目のネタからいきなり、とてつもない声量を発揮！そして、長い七変化の歴史に名を残す快挙の予感が・・・果たして！？,1,2011-08-07-1
2011-08-14,今週は、最近、演出家としてズレてきている世界のヘイポー（５６歳・独身）が、芸人のことをもっと知るため、芸人家族のお宅に泊まらせてもらう。今回、そんなヘイポーを泊めさせてくれるのはＣＯＷＣＯＷ山田與志の家族。妻と６歳の女の子と４歳の男の子、さらにヘイポーが苦手な犬や猫までいるお宅で、はじめは文句が止まらない。しかし、徐々に子どもたちと絆を深めていくヘイポー。果たして、どんな結末を迎えるのか・・・！？,1,2011-08-14-1
2011-08-21,今週は、ガキメンバーに山崎からの招待状が届き、日本が一番元気だった昭和を振り返るためスタジオに呼ばれて行ってみると・・・ 山崎が昭和のさまざまな名曲を熱唱し、ガキメンバーをもてなす。アグネスチャンの「ひなげしの花」にはじまり、フィンガーファイブの「恋のダイヤル６７００」など昭和４０年代と５０年代のヒットソングを振り返る。さらに、昭和のブームと共に歌謡界の名場面を見てダウンタウンも記憶をよみがえらせる。,1,2011-08-21-1
2011-09-04,今週のガキの使いは先週に引き続き、「焼肉のトラジ」食べ尽くしに挑戦！これまで「餃子の王将」「銀だこ」「すしざんまい」の食べ尽くしに挑戦し、いずれも失敗に終わったガキメンバー。約１年ぶり、４度目の挑戦になる今回は山手線内２５店舗ある「焼肉トラジ」の完全制覇！各店舗でお肉を１人前ずつ２５種類の合計２５人前を５人で協力して食べればＯＫ。オーバー４０に重くのしかかる脂をはねのけ、初の完全制覇は成るのか！？,1,2011-09-04-1
2011-09-11,今週のガキの使いは、これまで、子どもが苦手な上、ペットと一緒の部屋でご飯を食べる事なんてもっての他だったヘイポー。しかし、前回、COWCOW山田與志のお宅に泊めさせてもらったことで、こどもやペットが大好きになった。そんなヘイポーに対する反響が多かったため、今回はひと月ぶりに再会し、再び山田與の家族4人と一緒にキャンプへ行く事に！大自然の中で、川辺で一緒に遊んだり、カブトムシ獲りで思い出作り。果たして！？,1,2011-09-11-1
2011-09-18,今週のガキの使いは、前回「誰が一番長く潜っていられるか！？水中息止め」企画でトップバッターとして挑戦するもなぜかトラブルが連発し、一人だけ何度もプールに入らされた笑瓶が、今回は泥の中にどれだけ長く潜っていられるかに挑戦！そして、今回もトップバッターは、ゲストの笑瓶。うだるような炎天下の中、泥んこの中で息止めに挑戦するが…またしても様々なトラブルが笑瓶を襲う！果たして、笑瓶の身にどんなトラブルが！？,1,2011-09-18-1
2011-09-25,今週のガキの使いは、恒例のききシリーズ第２９弾！ききポテトチップス！目隠しをした状態で自分が食べた塩味のポテトチップスがどれかを当てる。前回、９年ぶりに田中が“ききりんごジュース”を当てた勢いで今回も当てたいところだが…。ポテトチップスに絶対的な自信を持つ山崎に対して、他のメンバーは難しいとの予想…そして、いざ始まると思った以上に難易度が高い事が判明！果たして、当てる事ができるメンバーはいるのか！？,1,2011-09-25-1
2011-10-02,今週のガキの使いは、メンバーたちに対して怒りをあらわにした松本が、日頃、ちゃんとパートナーの女性と上手くいっているかを気にしつつ、人形のビーチクを噛んだ状態で、どこまで遠くに飛ばせるかを競う『ビーチク噛み飛ばし選手権』を開催！ダウンタウン、山崎、ココリコ、ライセンスがそれぞれ２回ずつ挑戦し、より遠くまで飛ばせた方が記録となる。ビリには恥ずかしいお仕置きが待っているが、予想外の結末が・・・！？,1,2011-10-02-1
2011-10-09,今週のガキの使いは、松本ママと浜田バーテンダーが待つ「ベロンベロン酒場」そこは、シラフの人はお断り。既にどこかで酔っぱらってからじゃないと入れない。そんな店にやって来るのは、のっけから酔っぱらった芸人たち。ガキのレギュラーメンバーをはじめ、いとうあさこ、サバンナ高橋、フット岩尾、ほっしゃん。といった酔っぱらい芸人が酒に最も合うツマミを持ち込んでくるが、徐々に酒がすすみ、トンデモない事態に…！！,1,2011-10-09-1
2011-10-16,今週のガキの使いは、先週に引き続き、松本ママと浜田バーテンダーが待つ「ベロンベロン酒場」その店は、シラフお断りで既にどこかで酔っぱらってからじゃないと入れない。ガキのレギュラーメンバー、いとうあさこ、サバンナ高橋、フット岩尾、ほっしゃん。といった酔っぱらい芸人がベロンベロンに酔っぱらい、唄いまくり、踊り狂い、酔っぱらい同士でディープキスをはじめる乱れまくりの大騒ぎ！果たして、どうなってしまうのか!?,1,2011-10-16-1
2011-10-23,今週のガキの使いは、浜田が居ない楽屋に松本がやって来て、最近、浜田が「なぞなぞ」にハマっているので、浜田が作った「なぞなぞ」をみんなで答えていって欲しいと告げられる。早速、浜田が待つスタジオに行ってみると、テンションが最高に上がりきった浜田が「第１回　浜田雅功のなるほど　ザ・なぞなぞワールド！」を開催。しかし、メンバーがいくら答えても全く正解にならず、浜田の機嫌が次第に悪くなっていく…果たして！？,1,2011-10-23-1
2011-10-30,今週のガキの使いは、約１年ぶりのハイテンション・ザ・ベストテン！芸人にとって緊張感がピークに達した過酷極まりない状況の中で、最高潮までテンションを高め、一気に解放する。しかし、もし、スベってしまった場合、むこう１０年間は芸人として日陰に入ってしまう恐ろしい企画。今、勢いに乗っている初登場の芸人たちが次々とランクインする中、ハイテンションを行う前に、自らのテンションを上げるために各々が特技を披露する。,1,2011-10-30-1
2011-11-06,今週のガキの使いは、先週に引き続き約１年ぶりの『ハイテンション・ザ・ベストテン』上位にランクインした人気芸人たちが、次々、登場！緊張感がピークに達した過酷極まりない状況の中で、最高潮までテンションを高め、一気に解放する芸人たち。最近、浮気が発覚したアノ芸人が妻に捧げるハイテンションを披露したり、振られた女性の気を取り戻すため、特技を披露する芸人も登場！果たして、どんな芸人が上位にランクインするのか！？,1,2011-11-06-1
2011-11-06,今週のガキの使いは、先週に引き続き約１年ぶりの『ハイテンション・ザ・ベストテン』上位にランクインした人気芸人たちが、次々、登場！果たして、ベスト３に入る芸人は！？                     ５位 ワッキー　４位 アンガ　２３位 三又　３位 遠藤　２位 江頭　１位 山崎,2,2011-11-06-2
2011-11-13,今週のガキの使いは、箸を一切使わず、素手 で様々な食べ物を食べるエコ企画！？但し、 素手で食べる料理は全てアツアツという灼熱 地獄！制限時間９０秒という限られた時間で、華麗にかつ、激しく食べる事ができるか！？ 若手ライセンスも参加。そして、そんな芸当を行うのは芸人だけでいい中、唯一、中村プロデューサーが参加！「マッド感」＝いかに、攻めているか？など、５つの項目で、その食べっぷりを評価！果たして・・・真の男は！？,1,2011-11-13-1
2011-11-20,今週のガキの使いは、一回目に天候不良で出来なかったことがあったため、そのやり残したオチを実行すべく、それぞれガキメンバーがドライブをしながら、その思いでエピソードを話す『思い入れソングドライブ』を決行。 田中が、はじめて告白した初恋の苦いエピソードと共に、思い出曲を発表。浜田は高校時代、松本に助けられた（秘）エピソードを披露。 今回は、天候にもめぐまれる中、果たして、どんな（秘）エンディングが待っているのか！？,1,2011-11-20-1
2011-11-27,今週のガキの使いは、世界のヘイポーさんが、２度にわたるＣＯＷＣＯＷ山田與家族との触れ合いを通じて、家族を持ち、未来を考えることを本気で考え出したという。いつもと違うおふざけ一切なしのヘイポーさんが「未来を変える女性ベスト３０」と題し、スティーブ・ジョブズばりのプレゼン発表会を開くことに・・・第３０位にいきなり東北出身の鈴木京香さんがランクイン。果たして、１位は誰なのか！？そして、未来は変わるのか？,1,2011-11-27-1
2011-12-04,今週のガキの使いは、久しぶりの着ぐるみトーク。これまで様々な事を予知してきたマヤ文明のカレンダーが来年で終わっているという話で盛り上がる！もし、来年、地球が終わったらどうするか？マヤ文明に対するガキメンバーたちの知識が交錯。また、いかに５人が老けたか？白髪や老眼の話へと発展！さらに、松本が後輩芸人チャドを前に何もできず、落ち込んだ話など、トークメンバーを入れ替えながら、大盛り上がりの３０分。,1,2011-12-04-1
2011-12-11,今週のガキの使いは、絶対にスベることができない過酷極まりない状況の中、自ら考えた変化ネタを披露する七変化。３７人目の挑戦者は・・・中川家礼二。コンビで出てきたら、まずはボケからやるはずという礼二の愚痴が止まらない中、ボケの剛ではなく、ツッコミである弟の礼二が行う。鋭い観察力と細かい芸を中心に、なんかいるわぁという笑わずにはいられないネタが連発。果たして、礼二は何位にランクインする事ができるか！？,1,2011-12-11-1
2011-12-18,今週のガキの使いは、１４年連続で総合司会に選ばれた元ダウンタウンマネージャーの藤原寛がお送りする「２０１１年ガキの使いオープニング企画ベスト１０」今年一年行われた様々な企画が続々登場！ベロンベロンになった芸人たちが、酒場に集まって乱れまくる（秘）企画や叩いてかぶってジャンケンポンを本気で行うガチバトル。昭和の大ヒットソングを山崎が振り返る企画などがランクイン！果たして、栄えある１位に輝くのは!?,1,2011-12-18-1
