,date,name,description_ja,season,episode,show_id,show,show_ja
20,2018-04-20, 2. 会心の一撃 ,開始から１時間も経たないうちに、続々とイエロー、オレンジカードが飛び出す。いつ誰が笑ってもおかしくない異様な空気の中、“謎のひよこ”がメンバーたちを翻弄していく…。そして、追い込まれた千原ジュニアが１人の芸人をロックオン。最初の脱落へと追い込む、会心の一撃が炸裂した。(C)2018 YD Creation,5,S05E02,documental,DOCUMENTAL,ドキュメンタル
21,2018-04-20, 3. 崖っぷちの戦い ,互いに得意ネタを繰り出す、激しい打ち合いに突入。かまいたち・山内がメンバー悶絶のネタを放つと、ハリウッドザコシショウは“ある音”で２人同時に脱落リーチへと追いやる。まさかのオレンジカードラッシュで崖っぷちの戦いに…その時、自ら仕掛けたネタで自爆する脱落者が現れた。(C)2018 YD Creation,5,S05E03,documental,DOCUMENTAL,ドキュメンタル
22,2018-04-20, 4. リーサルウェポン ,残り３時間を切り、さらにタブーなしの笑いの応酬が続く。そしてついに、新ルール「助っ人」が召喚された。戦いの場に現れる“元・世界最強の男”“謎の６９歳”…意外すぎる笑いの刺客たちに、波乱が巻き起こる。脱落者が続出し、いよいよ最終決戦へ。残ったのは予想を覆すあの２人だった。(C)2018 YD Creation,5,S05E04,documental,DOCUMENTAL,ドキュメンタル
23,2018-04-20, 5. 最後に“笑う”のは… ,タイムリミットまであとわずか。ゾンビたちの波状攻撃が始まった。禁断の切り札を放つ者、奇策に出る者、想定外の助っ人を呼ぶ者。全滅を狙うゾンビと、優勝賞金１０００万円をつかみたい挑戦者の意地と意地がぶつかり合う。極限バトルの末に…笑いを耐え抜き、最後に笑うのは誰だ？(C)2018 YD Creation,5,S05E05,documental,DOCUMENTAL,ドキュメンタル
24,2018-11-30, 1. かつてない挑戦者 ,「めちゃくちゃおもろいメンバーやな！」と松本。意外性のあるメンバーが揃い、かつてない「実験」が始まる。ドキュメンタル史上最多４人の実力派女芸人、最年長６３歳のベテラン芸人、そして過去に苦渋を味わい、リベンジに燃える芸人たち…。意地と意地、男と女が入り乱れる、新たな戦いの鐘が鳴る。出演者：村上ショージ、ジミー大西、FUJIWARA 藤本敏史、陣内智則、千鳥 大悟、森三中 黒沢かずこ、友近、スリムクラブ 真栄田賢、ハリセンボン 近藤春菜、ゆりやんレトリィバァ(C)2018 YD Creation,6,S06E01,documental,DOCUMENTAL,ドキュメンタル
25,2018-11-30, 2. 阿吽の呼吸 ,序盤から激しく手数を出し合う挑戦者たち。細かい笑いを仕掛けるショージと、それにダメ出しをする藤本が不穏な空気に…。そんな中、女芸人たちにスイッチが入った。突然はじまる絶妙な４人の合体技が他の挑戦者を追い詰めていく。１人また１人とペナルティカードを食らう中、ついに最初の脱落者が…。(C)2018 YD Creation,6,S06E02,documental,DOCUMENTAL,ドキュメンタル
26,2018-11-30, 3. 袋のネズミ ,女芸人たちの猛攻は激しさを増す。「策士」友近にあやつられた、ゆりやん・春菜らが変幻自在の攻撃で１人ずつ挑戦者をロックオンし、窮地へと追い込んでいく。だが、男芸人も負けてはいない。スリムクラブ・真栄田が予測不能のネタを放つと、ドキュメンタルで稀に見る爆笑が響き渡った。(C)2018 YD Creation,6,S06E03,documental,DOCUMENTAL,ドキュメンタル
27,2018-11-30, 4. デッドヒート ,ラスト４６分は歴史的な死闘となった。生き残る７人の元に、捨て身のゾンビや助っ人の大物歌手が襲来。戦いの場がカオスとなる中、ついに女芸人が“全て”をさらけ出し、限界を超えるネタを繰り出し始める。最終局面まで３人が無傷という、ハイレベルな接戦の果てに、新たな覇者が誕生した。(C)2018 YD Creation,6,S06E04,documental,DOCUMENTAL,ドキュメンタル
28,2019-04-26, 1. 王者vs王者 ,熾烈な戦いを予感させる誇り高き１０人が集った。松本人志期待の強豪、ツッコミ界の２大巨頭、そしてドキュメンタル史上初めて“過去シーズンの王者”が再び参戦。開始早々、最強の王者が潰しにかかったのは、初参戦の“２０１８年Ｍ-１王者”。早くもイエローカードが乱れ飛ぶ！出演者：雨上がり決死隊 宮迫博之、たむらけんじ、ハリウッドザコシショウ、 小籔千豊、フットボールアワー 後藤輝基、東京ダイナマイト ハチミツ二郎、ザブングル 加藤歩、千鳥 ノブ、トム・ブラウン みちお、霜降り明星 せいや(C)2019 YD Creation,7,S07E01,documental,DOCUMENTAL,ドキュメンタル
29,2019-04-26, 2. 進撃のダークホース ,「攻撃は最大の防御」とばかりに、互いに攻め続ける挑戦者たち。中でも序盤、戦いの中心に躍り出たのは“雑魚キャラ”返上を狙うザブングル加藤だった。次々と繰り出されるゴールなき不毛暴走が他の挑戦者たちをジリジリと追い詰めていく。そして、最初の脱落者となったのは…？(C)2019 YD Creation,7,S07E02,documental,DOCUMENTAL,ドキュメンタル
30,2019-04-26, 3. 狙い撃ち ,ここまで守り中心だった挑戦者が反撃に転じた。小籔が毒舌キャラを活かしたネタで宮迫、後藤を笑いの淵へ追い込むと、ハチミツ二郎は王者・ザコシショウを狙い撃ち。鉄壁のガードを崩しにかかる。やるかやられるか、紙一重の戦いが続く中、ある動画が1人の挑戦者にトドメを刺した。(C)2019 YD Creation,7,S07E03,documental,DOCUMENTAL,ドキュメンタル
31,2019-04-26, 4. 魔の時間 ,開始から３時間２０分が経過し、危険な時間帯に突入。エアポケットに入ったかのように、なぜか笑ってしまう挑戦者が続出。そこに助っ人＆ゾンビが容赦ない奇襲を仕掛けてくる！そして部屋に響き渡ったのは“あの大物芸人”の叫び声…戦士たちのメンタルは限界へと近づいてゆく。(C)2019 YD Creation,7,S07E04,documental,DOCUMENTAL,ドキュメンタル
32,2019-04-26, 5. 王者包囲網 ,変幻自在の攻撃でポイントを積み上げてきた“シーズン５王者”ザコシショウ。残りは５人、誰が王者を止めるのか？笑いのツボはどこにあるのか？一撃必殺で逆転を狙い、集中砲火が始まった。タイムアップの瞬間まで続いたノーガードの潰し合い…衝撃と拍手喝采の結末が待っていた。(C)2019 YD Creation,7,S07E05,documental,DOCUMENTAL,ドキュメンタル
33,2020-08-21, 1. 地獄へようこそ ,松本期待の初出場組がドキュメンタルに新たな風を吹き込む。目をギラつかせて挑むツッコミ芸人に「大穴」と目される地下芸人界のカリスマ。そして、あの兄弟芸人が一堂に会した。迎え撃つは優勝経験者ら常連組…。芸人の矜恃をかけて、開始直後から壮絶な潰し合いが始まった。出演者：千原兄弟 千原せいじ、千原兄弟 千原ジュニア、FUJIWARA 藤本敏史、チャンス大城、ケンドーコバヤシ、野性爆弾 くっきー！、次長課長 河本準一、品川庄司 庄司智春、トータルテンボス 藤田憲右、チョコレートプラネット 松尾駿(C)2020 YD Creation,8,S08E01,documental,DOCUMENTAL,ドキュメンタル
34,2020-08-21, 2. 前代未聞 ,初出場・チャンス大城が得意の音マネで果敢に攻め、１人の挑戦者を追い詰めた。さらにギャグで猛攻に出る千原ジュニア、絶妙のタイミングである音を響かせるトータル藤田…予想もつかない攻めが連鎖し、誰もが笑い出す寸前に。すると、たまらず松本が前代未聞のジャッジを下す…。(C)2020 YD Creation,8,S08E02,documental,DOCUMENTAL,ドキュメンタル
35,2020-08-21, 3. 俺が仕留めないと。 ,開始から１時間２０分が過ぎ「笑えたら笑いたい」拷問のような時間が続く。ここでシーズン４王者・くっきー！が本領を発揮し、ついに１人目の脱落者が。また、オレンジカードを喰らい、後がなくなった２人が正面から激突！小細工無用、パワーとパワーをぶつけ合う名勝負が生まれた。(C)2020 YD Creation,8,S08E03,documental,DOCUMENTAL,ドキュメンタル
36,2020-08-21, 4. 今までにない笑い ,挑戦者が用意した「助っ人」も投入され、戦いは混沌を極める。始まったのは、痛くても音を出してはいけない「スネ叩きハーモニカゲーム」。新たな脱落者が出る一方、今までにない形で笑い出す者も現れた。一瞬の油断が運命を分ける、緊迫の攻防戦はいよいよクライマックスへ…(C)2020 YD Creation,8,S08E04,documental,DOCUMENTAL,ドキュメンタル
37,2020-08-21, 5. ゲームオーバー ,残り７人、誰が優勝してもおかしくない最終局面。ポイントを稼ごうと、なりふり構わず手数を繰り出す中、スマホを駆使した最凶ネタが他の挑戦者たちを苦しめる。さらに、ノーコンテストに持ち込みたいゾンビの本気ネタが炸裂！松本が「見惚れた」と絶賛する死闘を制したのは…。(C)2020 YD Creation,8,S08E05,documental,DOCUMENTAL,ドキュメンタル
38,2021-02-26, 1. ２０００万の衝撃 ,参加者たちの顔色が変わった。今回の優勝賞金は無効試合となった幻のシーズンから１０００万円がキャリーオーバーされ、番組史上最高の２０００万円に！汚名返上を狙う幻回の優勝者・とろサーモン久保田に、シーズン６優勝者、そしてフレッシュなメンバーたちが本気の笑いで激突する！出演者：千原ジュニア（千原兄弟）、後藤輝基（フットボールアワー）、椿鬼奴、久保田かずのぶ（とろサーモン）、サンシャイン池崎、長田庄平（チョコレートプラネット）、あばれる君、粗品（霜降り明星）、せいや（霜降り明星）、ゆりやんレトリィバァ(C)2021 YD Creation,9,S09E01,documental,DOCUMENTAL,ドキュメンタル
39,2021-02-26, 2. 大物襲来 ,開始直後からイエローカード連発！　オレンジカードのない今回は即崖っぷちとなる。かつてない緊張がただよう中、チョコプラ長田やあばれる君など初参戦組が果敢に仕掛けていく。そんな戦いの場をかき乱したのは“師匠”と“大女優”。冷静沈着なある参加者が追いつめられた。(C)2021 YD Creation,9,S09E02,documental,DOCUMENTAL,ドキュメンタル
40,2021-02-26, 3. 笑いませんよ。 ,初参戦・サンシャイン池崎の絶叫ゲームに翻弄される参加者たち。これまでより短い４時間決戦のため、息もつかせぬ攻撃と、下手なことでは絶対に笑わないという執念が、激しくぶつかり合う。誰が先に限界を迎えるのか？　すると、自ら繰り出したネタで自滅する者が続出し始める。(C)2021 YD Creation,9,S09E03,documental,DOCUMENTAL,ドキュメンタル
41,2021-02-26, 4. 勝者の涙 ,一瞬でも隙を見せれば一気に攻め込まれる。終盤戦は容赦なき潰し合いの展開に。キレ味を増すフット後藤のツッコミや、自然発生した怒涛の連携攻撃「ミュージカル」が、参加者たちを脱落へと追いやっていく。史上最高額２０００万円を手にするのは！？　勝者の目には涙がこぼれた。(C)2021 YD Creation,9,S09E04,documental,DOCUMENTAL,ドキュメンタル
42,2021-02-26, 5. 激闘を振り返る ,松本と参加者たちが激闘の裏側を語り合う感想戦！それぞれが選ぶ一番「ヤバかったシーン」はどこなのか？今だから言える戦略、揺れた心境、戦いの後に起きていた秘話まで洗いざらいぶっちゃける！実は決着の瞬間、優勝者の体に異変が…。これを見ればシーズン９がさらに楽しめる！(C)2021 YD Creation,9,S09E05,documental,DOCUMENTAL,ドキュメンタル
43,2021-12-03, 1. 王者たちの覚悟 ,プライド、野心、ライバル心…それぞれの覚悟を秘め、歴代王者６人が顔を揃えた。強いヤツしかいない初のチャンピオン大会。開始直後に始まったのは、まさかのにらめっこだった！？小細工なしで正面から激突し、１人の王者に集中攻撃！６時間に及ぶ伝説の潰し合いが幕を開けた。出演者：山本圭壱（極楽とんぼ）、ハリウッドザコシショウ、くっきー！（野性爆弾）、小峠英二（バイきんぐ）、久保田かずのぶ（とろサーモン）、ゆりやんレトリィバァ(C)2021 YD Creation,10,S10E01,documental,DOCUMENTAL,ドキュメンタル
44,2021-12-03, 2. 強者ゆえに ,王者の攻撃vs王者の防御！ザコシショウが怒涛の誇張モノマネを連発し、くっきー！が必殺の画像ネタを繰り出す。それぞれが得意ワザで攻め込むも、簡単には互いの牙城を崩せない。しかし、強者ゆえに思わぬところで笑いが生まれる。そして早くも、崖っぷちに追い込まれた王者が…(C)2021 YD Creation,10,S10E02,documental,DOCUMENTAL,ドキュメンタル
45,2021-12-03, 3. 特別ルール発動 ,笑ってもいい「オブザーバー」フジモンが登場し、場をかき乱す。ギリギリで笑いをこらえる歴代王者たち。すると、隙を突いて仕掛けられた一撃が１人の王者にトドメを刺した！頂上決戦から最初に姿を消したのは…？さらに続く狂気の動画攻撃！中盤戦、ハイレベルな攻防が加速する！(C)2021 YD Creation,10,S10E03,documental,DOCUMENTAL,ドキュメンタル
46,2021-12-03, 4. 全てを剝き出して ,日本語,10,S10E04,documental,DOCUMENTAL,ドキュメンタル
47,2021-12-03, 5. チャンピオン強えぇ ,残り２時間を切った。どんな攻撃にも耐え、松本が「異常」と言うほどの強さを見せる王者たち。そして最終局面、ドキュメンタル史上初めて、ついに松本が戦いの場へと降り立つ！もはや正攻法では笑わない、極限の戦いを勝ち抜くのは？最強の中の最強がついに決まる。(C)2021 YD Creation,10,S10E05,documental,DOCUMENTAL,ドキュメンタル
