cct_id,show_id,show,show_ja,date,episode,segment,name_ja,name_en,description_ja,metadata,cct_permalink,cct_url,subbed,cct_link,cct_index
gakinotsukai_19891212_11_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1989-12-12,11,0,線で遊ぼう,Lets play with line,分数→漢字→[ハガキ]私は松ちゃんと浜ちゃんの生写真を持っています。結構古い物で浜ちゃんは髪をセットしていないし松ちゃんはヒゲが伸びてて下の歯の一本が抜けているように見えます。これはいつ頃の写真でしょうか,,11-1-ja,https://chikichiki.tube/gakinotsukai/video/11-1-ja,,"<a href=""https://chikichiki.tube/gakinotsukai/video/11-1-ja"">VTR</a>",gakinotsukai-11-1
gakinotsukai_19891219_12_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1989-12-19,12,0,刑事コント,Criminal Control,タクシーの運転手→浜田に間違えられた,,12-1-ja,https://chikichiki.tube/gakinotsukai/video/12-1-ja,,"<a href=""https://chikichiki.tube/gakinotsukai/video/12-1-ja"">VTR</a>",gakinotsukai-12-1
gakinotsukai_19891226_13_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1989-12-26,13,0,リポーター松本 浜田に突撃インタビュー,Reporters Matsumoto Hamada assault interview,事務所に浜田の結婚を黙ってろと言われてた→[ハガキ]松ちゃん浜ちゃん、二人はOFFの日はなにをしているのですか→松本さんの家にファンがやってくるのは松本さんは人が良くて優しそうに見えるからじゃないですか？,,13-1-ja,https://chikichiki.tube/gakinotsukai/video/13-1-ja,,"<a href=""https://chikichiki.tube/gakinotsukai/video/13-1-ja"">VTR</a>",gakinotsukai-13-1
gakinotsukai_19900109_14_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1990-01-09,14,0,留学生とチンピラ,Students and thugs short,髪→綺麗なホール→松本は子供が好きじゃない→犬は好き→今日はハガキで募集した客,,14-1-ja,https://chikichiki.tube/gakinotsukai/video/14-1-ja,,"<a href=""https://chikichiki.tube/gakinotsukai/video/14-1-ja"">VTR</a>",gakinotsukai-14-1
gakinotsukai_19900116_15_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1990-01-16,15,0,ローリングサンダーマン,Rolling Thunder Man,今年最後の収録→紅白どっちが勝つか,,15-1-ja,https://chikichiki.tube/gakinotsukai/video/15-1-ja,,"<a href=""https://chikichiki.tube/gakinotsukai/video/15-1-ja"">VTR</a>",gakinotsukai-15-1
gakinotsukai_19900123_16_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1990-01-23,16,0,ガララニョロロでズームイン朝！,Zoom morning Gararanyororo!,紅白の結果→ガララニョロロ→次の罰ゲーム→[ハガキ]私の友人の浜ちゃんファンは身長170cm、アゴがなく首からそのまま顔に繋がっているという感じで猫背です,,16-1-ja,https://chikichiki.tube/gakinotsukai/video/16-1-ja,,"<a href=""https://chikichiki.tube/gakinotsukai/video/16-1-ja"">VTR</a>",gakinotsukai-16-1
gakinotsukai_19900130_17_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1990-01-30,17,0,仕事人,Work people,横浜→浜田がパチンコしてたら店員が気付いてた→人間は生まれたときから死ぬ結末は分かってる話→野性の動物→[ハガキ]お二人にお願いがあります。どうか僕を弟子にしてください→お互いのクセを教えてください,,17-1-ja,https://chikichiki.tube/gakinotsukai/video/17-1-ja,,"<a href=""https://chikichiki.tube/gakinotsukai/video/17-1-ja"">VTR</a>",gakinotsukai-17-1
gakinotsukai_19900206_18_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1990-02-06,18,0,誘拐コント,Laughing Yoroshiku,前乗ったタクシーがスリップした→車,,18-1-ja,https://chikichiki.tube/gakinotsukai/video/18-1-ja,,"<a href=""https://chikichiki.tube/gakinotsukai/video/18-1-ja"">VTR</a>",gakinotsukai-18-1
gakinotsukai_19900213_19_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1990-02-13,19,0,ダウンタウン、女子寮へ,Downtown to womens dormitory,学生寮には来たことない,,19-1-ja,https://chikichiki.tube/gakinotsukai/video/19-1-ja,,"<a href=""https://chikichiki.tube/gakinotsukai/video/19-1-ja"">VTR</a>",gakinotsukai-19-1
gakinotsukai_19900220_20_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1990-02-20,20,0,激突！チキチキ三輪車マラソンレース,Duel Chitty Chitty tricycle marathon race,オープニングがひどい→東京駅にいる募金持ったやつ→男は思わずHな独り言を言ってしまう→ツッコミの職業病→飛行機で石川秀美を見かけて→[ハガキ]浜田さんがヤクザ上がりだという噂がありますが、本当であればツッコミの鋭さも納得です→罰ゲームでキユーピー3分クッキングに出演というのはいかがでしょうか,,20-1-ja,https://chikichiki.tube/gakinotsukai/video/20-1-ja,,"<a href=""https://chikichiki.tube/gakinotsukai/video/20-1-ja"">VTR</a>",gakinotsukai-20-1
gakinotsukai_19900227_21_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1990-02-27,21,0,体はいやー！おばさん登場,Body Year! Aunt appearance,今日はまだ時間が浅い→雨男→お笑い第3世代はマジメ→夢で逢えたらチームでサイパンに行った時の話→[ハガキ]二人のバレンタインの秘話を教えて下さい→近所の会館に来てほしい→ものまねコーナー,,21-1-ja,https://chikichiki.tube/gakinotsukai/video/21-1-ja,,"<a href=""https://chikichiki.tube/gakinotsukai/video/21-1-ja"">VTR</a>",gakinotsukai-21-1
gakinotsukai_19900306_22_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1990-03-06,22,0,激突！チキチキがっちり買いましょう,Duel Chitty Chitty Lets buy Athletic,この番組は見に来たくなくても来てる客がいる→東京の人は地震に慣れてる→[ハガキ]松ちゃんの本名は雪之丞と聞きました→浜ちゃんの高校時代の寮生活の思い出を聞かせて→クラスでダウンタウン、ウンナン、B21に関するアンケートを取りました,,22-1-ja,https://chikichiki.tube/gakinotsukai/video/22-1-ja,,"<a href=""https://chikichiki.tube/gakinotsukai/video/22-1-ja"">VTR</a>",gakinotsukai-22-1
gakinotsukai_19900313_23_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1990-03-13,23,0,激突！チキチキ恐面くんを探せ！,Duel Look for Chitty Chitty fear surface kun,今日は新幹線ではやく帰らないといけない→ほんまはもっと喋ってるけど編集で短くされてる→番組の企画でタイ万国にそっくりさんを探しに行った→お前はフィリピン系→新田マネージャーのコーディネート募集→[ハガキ]『欽ドン！ハッケヨーイ笑った！』に二人は出ていたと聞きましたが本当ですか？→ものまねコーナー,,23-1-ja,https://chikichiki.tube/gakinotsukai/video/23-1-ja,,"<a href=""https://chikichiki.tube/gakinotsukai/video/23-1-ja"">VTR</a>",gakinotsukai-23-1
gakinotsukai_19900320_24_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1990-03-20,24,0,体はいやー！おばさん鬼ごっこ大会,Body Year! Aunt tag tournament,前説がお客さんを冷めさせる→低血圧のイライラ→喫茶店でメニューを間違えられた→朝起きられない→体がピクピクする→髪の毛は生きている→熱いお茶を飲むと｢あぁ｣と言ってしまう→[ハガキ]2月20日放送のハガキコーナーで松ちゃんの話が途中で変わってしまいましたが何を話そうとしていたのですか？→浜ちゃんは最近太ってきた？→ものまねコーナー,,24-1-ja,https://chikichiki.tube/gakinotsukai/video/24-1-ja,,"<a href=""https://chikichiki.tube/gakinotsukai/video/24-1-ja"">VTR</a>",gakinotsukai-24-1
gakinotsukai_19900327_25_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1990-03-27,25,0,無し(松ちゃんの遅刻でお流れ),Mr. donut CM large public of nostalgic,こんだけ低予算の番組ない→中身のある話をしたい→口半開きで寝る浜田、目半開きで寝る松本→[ハガキ]お二人が出演していたミスタードーナツのCM覚えています(CM観賞)→高校時代の松本さんは泣く子も黙ると言われるほど恐れられていたと聞きました→ものまねコーナー,,25-1-ja,https://chikichiki.tube/gakinotsukai/video/25-1-ja,,"<a href=""https://chikichiki.tube/gakinotsukai/video/25-1-ja"">VTR</a>",gakinotsukai-25-1
gakinotsukai_19900403_26_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1990-04-03,26,0,熱海インディーの秘宝チキチキ発掘大作戦,Atami Special Chitty Chitty excavation Battle,[ハガキ]新田さんをあまりイジメないであげてください→人気はどちらがあるのですか？→クイズです。象を冷蔵庫に入れる3つの条件とは？続けてキリンを冷蔵庫に入れる4つの条件とは？,,26-1-ja,https://chikichiki.tube/gakinotsukai/video/26-1-ja,,"<a href=""https://chikichiki.tube/gakinotsukai/video/26-1-ja"">VTR</a>",gakinotsukai-26-1
gakinotsukai_19900410_27_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1990-04-10,27,0,激突チキチキ新田コーディネート大作戦！,Nitta coordination Battle,浜田が寿司屋の出前の親父にキレた→松本がタクシー運転手にキレた→飲食店で品物に虫が混入してたらどうする→地下鉄で二人の足を踏んでも謝らなかったおっさんを蹴り倒した話→[ハガキ]中学の頃二人は六甲牧場を駆け下りて死にそうになったらしいですがどうして駆け下りたのですか→松本さんの好きなタイプを教えて下さい,,27-1-ja,https://chikichiki.tube/gakinotsukai/video/27-1-ja,,"<a href=""https://chikichiki.tube/gakinotsukai/video/27-1-ja"">VTR</a>",gakinotsukai-27-1
gakinotsukai_19900417_28_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1990-04-17,28,0,チキチキ綱引き大合戦,Tug of war Battle,しりとりで何を言われても｢す｣で返すことができる→子供の頃の遊び→[ハガキ]二人が学生の頃にやっていた時間差攻撃という遊びを教えてください→罰ゲームをかけたしりとり対決をしたい,,28-1-ja,https://chikichiki.tube/gakinotsukai/video/28-1-ja,,"<a href=""https://chikichiki.tube/gakinotsukai/video/28-1-ja"">VTR</a>",gakinotsukai-28-1
gakinotsukai_19900424_29_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1990-04-24,29,0,チキチキわらしべ長者大合戦！,Straw Millionaire large battle,自宅マンションに来るブサイクな女のファン→罰ゲームをかけたしりとり対決→[ハガキ]教科書に掲載されている写真に浜ちゃんに似ている人が写っています,,29-1-ja,https://chikichiki.tube/gakinotsukai/video/29-1-ja,,"<a href=""https://chikichiki.tube/gakinotsukai/video/29-1-ja"">VTR</a>",gakinotsukai-29-1
gakinotsukai_19900501_30_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1990-05-01,30,0,100万円はもらったも同然だ!! メイキング・オブ・仮装大賞（カメレオンで不合格）,1 million yens good as I got,[ハガキ]コンサートはやらないのですか？レコードはもう出さないのですか？→ものまねコーナー,,30-1-ja,https://chikichiki.tube/gakinotsukai/video/30-1-ja,,"<a href=""https://chikichiki.tube/gakinotsukai/video/30-1-ja"">VTR</a>",gakinotsukai-30-1
gakinotsukai_19900508_31_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1990-05-08,31,0,罰ゲーム・SM亀甲縛りアルタ画面で番組宣伝!!,Program propaganda !! punishment game,[ハガキ]二人は誰かと間違われたことはありますか→人間観察は面白い,,31-1-ja,https://chikichiki.tube/gakinotsukai/video/31-1-ja,,"<a href=""https://chikichiki.tube/gakinotsukai/video/31-1-ja"">VTR</a>",gakinotsukai-31-1
gakinotsukai_19900515_32_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1990-05-15,32,0,イカすのど自慢天国大合戦!!,Capitalize throat boast heaven large battle,浜田の衣装が汚い→東武動物公園での余興(営業)の話→グリーンピア三木での営業の話→交通事故の話→[ハガキ]小学校3年生の弟がダウンタウンに弟子入りしたいと言い出しました。どうか返事をしてあげてください→お二人は学生時代にあまり思い入れがないのですか？面白い昔話があったら話してください→奥さんを誘拐した犯人が松ちゃんを殺せと要求してきたら浜ちゃんはどうしますか？→松ちゃんは野沢直子と仲が良い？,,32-1-ja,https://chikichiki.tube/gakinotsukai/video/32-1-ja,,"<a href=""https://chikichiki.tube/gakinotsukai/video/32-1-ja"">VTR</a>",gakinotsukai-32-1
gakinotsukai_19900522_33_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1990-05-22,33,0,激突チキチキスターボーリング,Clash Chitty Chitty Star Bowling,プロ野球が盛り上がっている→芸能界におけるコメディアンの地位→野球のルールに納得がいかない→早口言葉に納得がいかない[ハガキ]学校をズル休みしてまで浜ちゃんの出待ちをするも会えませんでした。励みにGジャンをください→寒い(のでGジャンをください)→究極の選択。辞めるならどっち？笑っていいともとガキの使い→どっちかを殴れと言われたら？西川きよしと桂三枝→4、5年前にダウンタウンが出ていたひょうきん予備校に清川虹子さんがゲストで来たときにキスの犠牲になった二人の内の一人が松っちゃんだった気がするのですがどうでしょうか？,,33-1-ja,https://chikichiki.tube/gakinotsukai/video/33-1-ja,,"<a href=""https://chikichiki.tube/gakinotsukai/video/33-1-ja"">VTR</a>",gakinotsukai-33-1
gakinotsukai_19900529_34_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1990-05-29,34,0,チキチキオセロ名人戦!!,Chitty Chitty Othello Myungin,トークのスタジオが遠い→セットが変更→ナンパの話→東京の店員相手にはAV借りにくい→大阪の男は日本で一番スケベ→学生時代の二人のスケベな話→[ハガキ]ケンタッキーでアルバイトしていた時、ドライブルスルーに自転車で入ってきたおばちゃんにケンタッキー5本頂戴！と言われて笑ってしまいました→浜田は鳥人間コンテストに出る？出ない？,,34-1-ja,https://chikichiki.tube/gakinotsukai/video/34-1-ja,,"<a href=""https://chikichiki.tube/gakinotsukai/video/34-1-ja"">VTR</a>",gakinotsukai-34-1
gakinotsukai_19900605_35_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1990-06-05,35,0,チキチキハスラー３,Hustler 3,最近ちびまる子ちゃんが面白い→雑誌の怪しい通販商品を実際に試したい→特許を取れば大儲け(下駄箱スルメ)→[ハガキ](セーラー服を着た女性アシスタントがモニターと共に登場)ミスタードーナツのCMで共演したことがあるんですけど覚えていますか？→究極の選択。街に行くのに覆面付けて裸か、素顔でビキニ姿→究極の選択。自分が出ているエロ本が母親に見つかる。母親が出ているエロ本を見つける→ものまねコーナー,,35-1-ja,https://chikichiki.tube/gakinotsukai/video/35-1-ja,,"<a href=""https://chikichiki.tube/gakinotsukai/video/35-1-ja"">VTR</a>",gakinotsukai-35-1
gakinotsukai_19900612_36_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1990-06-12,36,0,チキチキ３分クッキング!!,Three Minute Cooking,つかみのギャグ→性的興奮作用があるガラナチョコレートを実食→スタッフが下駄箱スルメを作ってみた→視聴者プレゼント→[ハガキ]松本さんは仲の良い友だちの盲腸の手術をしたというのは本当ですか？→お互いこいつ良いやつだと思ったことはありますか？→二人はどんな食べ物が好きなんですか？,,36-1-en,https://chikichiki.tube/gakinotsukai/video/36-1-en,True,"<a href=""https://chikichiki.tube/gakinotsukai/video/36-1-en"">VTR</a>",gakinotsukai-36-1
gakinotsukai_19900616_SP_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1990-06-16,SP,0,SP漫才を披露 25:10-26:10(60m),,漫才をしないといけない→片頭痛→浜田は車に轢かれたことがある→一回死んだと思ったことがある→吉本興業のってるノッテル図→今田の一人コント→東野の一人コント→130Rのコント→オールディーズのコント→山田花子(オンエアではネタはカット)→ダウンタウンの漫才,,,,,,
gakinotsukai_19900619_37_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1990-06-19,37,0,チキチキマンガ道場!!,Manga Dojo,新しい番組の企画を考える→動物の話→松本は遅刻が多い→[ハガキ]浜ちゃんは大阪弁を使わずに話せませんか？,,37-1-ja,https://chikichiki.tube/gakinotsukai/video/37-1-ja,,"<a href=""https://chikichiki.tube/gakinotsukai/video/37-1-ja"">VTR</a>",gakinotsukai-37-1
gakinotsukai_19900626_38_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1990-06-26,38,0,チキチキぼんさんが屁をこいた!!,Bons was deliberately fart!,浜田がドラマを始めた話→松本・紳助・さんまは歌下手ベスト3→演技力対決→[ハガキ]うちの学校には大阪だと笑われる｢馬場ダイ｣という生徒がいます→吉本とのギャラ交渉はどのようにしていますか？→林正之助会長のエピソード→桂三枝とやすしきよしのライバル関係,,38-1-ja,https://chikichiki.tube/gakinotsukai/video/38-1-ja,,"<a href=""https://chikichiki.tube/gakinotsukai/video/38-1-ja"">VTR</a>",gakinotsukai-38-1
gakinotsukai_19900703_39_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1990-07-03,39,0,なし,Shoebox dried squid large lottery,下駄箱スルメ大抽選会→編集で切られている部分が多い→放送コードについて→お互いの悪口→[ハガキ]松本さんが浜田の妹はブサイクと言ってますが本当ですか？→お二人は何かに似ていると言われたことはありますか？,,39-1-ja,https://chikichiki.tube/gakinotsukai/video/39-1-ja,,"<a href=""https://chikichiki.tube/gakinotsukai/video/39-1-ja"">VTR</a>",gakinotsukai-39-1
gakinotsukai_19900710_40_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1990-07-10,40,0,チキチキルパン三世アテレコ大合戦!!,Lupin III Atereko large battle,松本の遅刻でトークが3時間以上遅れた→睡魔には勝てない→お詫びにお客さん150人にジュースを配る→[ハガキ]6月20日の放送で浜ちゃんと松ちゃんの頭上をハエが飛んでたんですがダウンタウンの二人は臭いのですか？,,40-1-ja,https://chikichiki.tube/gakinotsukai/video/40-1-ja,,"<a href=""https://chikichiki.tube/gakinotsukai/video/40-1-ja"">VTR</a>",gakinotsukai-40-1
gakinotsukai_19900717_41_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1990-07-17,41,0,チキチキ初級英会話講座!!,Beginner English course,松本が前回遅刻したので客にお詫びでジュース配る(200人で2万円）→可愛い部分を出していきたい→[ハガキ]プロ野球でセリーグが勝つかパリーグが勝つか賭けるのはどうでしょうか,,41-1-ja,https://chikichiki.tube/gakinotsukai/video/41-1-ja,,"<a href=""https://chikichiki.tube/gakinotsukai/video/41-1-ja"">VTR</a>",gakinotsukai-41-1
gakinotsukai_19900724_42_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1990-07-24,42,0,チビッ子なんでも相談室,Chibikko Consultation Office,電車で来たから来るのが遅くなった→5時にここに来る人間がなぜ4時50分に東京にいたの？→[ハガキ]松本さんが高校時代にホテルに彼女に行ったときホテルで火事を起こしたって聞きましたが本当ですか？,,42-1-ja,https://chikichiki.tube/gakinotsukai/video/42-1-ja,,"<a href=""https://chikichiki.tube/gakinotsukai/video/42-1-ja"">VTR</a>",gakinotsukai-42-1
gakinotsukai_19900731_43_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1990-07-31,43,0,プロ野球オールスター予想対決,Professional baseball All Star expected showdown,スカイダイビングやるにあたって考えた→[ハガキ]ノンノでデートしたい100人の100位内に二人が入ってましたがウッチャンナンチャンに負けてしまった感想を→松ちゃんは仕事が嫌いなのですか？,,43-1-ja,https://chikichiki.tube/gakinotsukai/video/43-1-ja,,"<a href=""https://chikichiki.tube/gakinotsukai/video/43-1-ja"">VTR</a>",gakinotsukai-43-1
gakinotsukai_19900807_44_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1990-08-07,44,0,罰ゲーム　浜ちゃん決死のスカイダイビング!!,Punishment game Hamachan suicide of skydiving,スカイダイビングでの体験,,44-1-ja,https://chikichiki.tube/gakinotsukai/video/44-1-ja,,"<a href=""https://chikichiki.tube/gakinotsukai/video/44-1-ja"">VTR</a>",gakinotsukai-44-1
gakinotsukai_19900821_45_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1990-08-21,45,0,新体操の女王　浩子ちゃんと踊ろう！,Rhythmic Gymnastics Queen Hirokochan and I will dance,最近した研究→[ハガキ]写真集を出していたと聞いたんですがどんな物なんですか？売れたんですか？→怪談話の季節ですがダウンタウンの二人はなにか恐ろしい体験をしたことがありますか？,,45-1-ja,https://chikichiki.tube/gakinotsukai/video/45-1-ja,,"<a href=""https://chikichiki.tube/gakinotsukai/video/45-1-ja"">VTR</a>",gakinotsukai-45-1
gakinotsukai_19900828_46_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1990-08-28,46,0,占いクイズ合戦　さて何でしょう？,So what now divination quiz battle,男のファンはヘン→道歩いててちょっかい出されたことある→京都のディスコであった怖い話→両刀→[ハガキ]浜ちゃん決死のダイビングは感動的でした。この次も頑張ってください→ダウンタウンの二人は親のHを聞いたり見たりしたことはありますか？,,46-1-ja,https://chikichiki.tube/gakinotsukai/video/46-1-ja,,"<a href=""https://chikichiki.tube/gakinotsukai/video/46-1-ja"">VTR</a>",gakinotsukai-46-1
gakinotsukai_19900904_47_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1990-09-04,47,0,仮装大賞ヨカッタヨーン!!,Costume Award Yokatta Yohn,全日空で一時間半も待たされた→新幹線でうるさかった→グリーン→[ハガキ]大阪にブラッキーズという松ちゃんの親衛隊がいたと聞きましたが本当ですか？→ぼくのおじいちゃんにあだ名を付けてほしいんです→私は女で背が186cmもあるんです。どうすれば目立たなくなるんでしょうか→ダウンタウンの二人はバッタもんを買ったことがありますか？→松ちゃんはアルタでファンの人が叫んでもシカトしていますが松ちゃんはファンの人が嫌いなんですか？,,47-1-ja,https://chikichiki.tube/gakinotsukai/video/47-1-ja,,"<a href=""https://chikichiki.tube/gakinotsukai/video/47-1-ja"">VTR</a>",gakinotsukai-47-1
